==================
Code for Link-Mode
==================

0x001                       10baseT Half
0x002                       10baseT Full
0x004                       100baseT Half
0x008                       100baseT Full
0x80000000000000000         100baseT1 Full
0x40000000000000000000000   100baseFX Half
0x80000000000000000000000   100baseFX Full
0x010                       1000baseT Half               (not supported by IEEE standards)
0x020                       1000baseT Full
0x20000                     1000baseKX Full
0x20000000000               1000baseX Full
0x100000000000000000        1000baseT1 Full
0x8000                      2500baseX Full               (not supported by IEEE standards)
0x800000000000              2500baseT Full
0x1000000000000             5000baseT Full
0x1000                      10000baseT Full
0x40000                     10000baseKX4 Full
0x80000                     10000baseKR Full
0x100000                    10000baseR_FEC
0x40000000000               10000baseCR Full
0x80000000000               10000baseSR Full
0x100000000000              10000baseLR Full
0x200000000000              10000baseLRM Full
0x400000000000              10000baseER Full
0x200000                    20000baseMLD2 Full           (not supported by IEEE standards)
0x400000                    20000baseKR2 Full            (not supported by IEEE standards)
0x80000000                  25000baseCR Full
0x100000000                 25000baseKR Full
0x200000000                 25000baseSR Full
0x800000                    40000baseKR4 Full
0x1000000                   40000baseCR4 Full
0x2000000                   40000baseSR4 Full
0x4000000                   40000baseLR4 Full
0x400000000                 50000baseCR2 Full
0x800000000                 50000baseKR2 Full
0x10000000000               50000baseSR2 Full
0x10000000000000            50000baseKR Full
0x20000000000000            50000baseSR Full
0x40000000000000            50000baseCR Full
0x80000000000000            50000baseLR_ER_FR Full
0x100000000000000           50000baseDR Full
0x8000000                   56000baseKR4 Full
0x10000000                  56000baseCR4 Full
0x20000000                  56000baseSR4 Full
0x40000000                  56000baseLR4 Full
0x1000000000                100000baseKR4 Full
0x2000000000                100000baseSR4 Full
0x4000000000                100000baseCR4 Full
0x8000000000                100000baseLR4_ER4 Full
0x200000000000000           100000baseKR2 Full
0x400000000000000           100000baseSR2 Full
0x800000000000000           100000baseCR2 Full
0x1000000000000000          100000baseLR2_ER2_FR2 Full
0x2000000000000000          100000baseDR2 Full
0x8000000000000000000       100000baseKR Full
0x10000000000000000000      100000baseSR Full
0x20000000000000000000      100000baseLR_ER_FR Full
0x40000000000000000000      100000baseCR Full
0x80000000000000000000      100000baseDR Full
0x4000000000000000          200000baseKR4 Full
0x8000000000000000          200000baseSR4 Full
0x10000000000000000         200000baseLR4_ER4_FR4 Full
0x20000000000000000         200000baseDR4 Full
0x40000000000000000         200000baseCR4 Full
0x100000000000000000000     200000baseKR2 Full
0x200000000000000000000     200000baseSR2 Full
0x400000000000000000000     200000baseLR2_ER2_FR2 Full
0x800000000000000000000     200000baseDR2 Full
0x1000000000000000000000    200000baseCR2 Full
0x200000000000000000        400000baseKR8 Full
0x400000000000000000        400000baseSR8 Full
0x800000000000000000        400000baseLR8_ER8_FR8 Full
0x1000000000000000000       400000baseDR8 Full
0x2000000000000000000       400000baseCR8 Full
0x2000000000000000000000    400000baseKR4 Full
0x4000000000000000000000    400000baseSR4 Full
0x8000000000000000000000    400000baseLR4_ER4_FR4 Full
0x10000000000000000000000   400000baseDR4 Full
0x20000000000000000000000   400000baseCR4 Full
